AnahtarKelime,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
bal,304,0.3,82,0
tereyağ,717,0.8,0.1,81
peynir,350,25,2,28
süt,64,3.3,4.7,3.5
çikolata,546,4.9,61,31
siyah zeytin,115,0.8,6.3,11
üzüm pekmezi,293,0.5,75,0.2
hellim,321,21,2,26
tahin,595,17,22,53
müsli,380,8,70,5
coco pops,389,6.3,84,1.3
zeytin,115,0.8,6.3,11
karadut,43,1.4,10,0.5
propolis,300,2,60,1.5
kağıt helva,375,3,85,3
dut pekmezi,290,0.6,74,0.3
vişne reçeli,270,0.3,69,0.1
margarin,717,0.2,0,80
gevrek,367,6.5,83,1.5
pekmez,290,0.6,74,0.3
ceviz ezmesi,654,15,13,65
labne,212,5,4.5,20
bisküvi,475,6.7,68,20
yeşil zeytin,145,1.0,3.8,15
keçiboynuzu özü,270,0.6,72,0.4
mozzarella,280,22,3,22
helva,510,12,55,29
badem kreması,614,14,20,55
fıstık ezmesi,588,25,20,50
salamura yaprak,66,2.5,10,0.4
kaymak,428,2,3.4,45
fındıklı granola,470,9,64,20
krem şanti,257,1.8,20,20
polen,316,24,40,5
zeytinyağı,884,0,0,100
ayçiçek yağı,884,0,0,100
kek,393,6.0,53,18
popkek,393,6.0,53,18
gofret,510,6.6,58,27
yufka,275,8.0,55,3.0
chia tohumu,486,16.5,42,31
şekeri,248,2,40,0
ozmo,546,4.9,61,31
tuzu,0,0,0,0
unu,364,10.3,76.3,1.0
sosu,74,2,11,2.30
şurubu,260,0,25,0.2
makarna sos,74,2,11,2.30
çikolatası,546,4.9,61,31
badem ezmesi,633,14,17,61
hurması,282,2.5,75.0,0.4
aroması,100,1.0,10,0.2
antepfıstığı,562,20.0,28.0,45.0
AnahtarKelime,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
un,364,10.3,76.3,1.0
kakao,228,19.6,57.9,13.7
toz kakao,228,19.6,57.9,13.7
ceviz,654,15.2,13.7,65.2
