Name,Market,Price,CategoryName,ImageUrl,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Banvit 300 gr Piliç Köfte,Şok,"49,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-300-gr-pilic-kofte-_568688.jpg,165,31,0,3.6
1 kg Dana Bonfile,Carrefoursa,"1.195,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-dana-bonfile-_286555.jpg,165,31,0,3.6
Carrefour 400-600 gr Çipura,Carrefoursa,"380,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/carrefour-400-600-gr-cipura-_1022399.jpg,84,18,0,1
Tarım Kredi 400 gr %20 Yağlı Map Tabak Dana Kıyma,Tarım Kredi Kooperatifi,"219,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/tarim-kredi-400-gr-20-yagli-map-tabak-dana-kiyma-_1555412.jpg,250,26,0,20
Beypiliç 1 kg Tabaklı Soslu Izgara Kanat,Carrefoursa,"242,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/beypilic-1-kg-tabakli-soslu-izgara-kanat-_286864.jpg,165,31,0,3.6
1 kg Kuzu Kaburga,Carrefoursa,"632,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-kuzu-kaburga-_286551.jpg,226,16,0,18
Kocaman 500 gr Dondurulmuş Karides,Getir Büyük,"287,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/kocaman-500-gr-dondurulmus-karides-_975986.jpg,106,20,1,2
Carrefour 1 kg Kemiksiz Kuzu But,Carrefoursa,"859,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/carrefour-1-kg-kemiksiz-kuzu-but-_1038670.jpg,226,16,0,18
Balık Dünyası 1 kg Halka Kalamar,Carrefour,"449,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/balik-dunyasi-1-kg-halka-kalamar-_962568.jpg,129,18,0,7
Pınar 225 gr Klasik Kangal Sucuk,PınarOnline,"200,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-225-gr-klasik-kangal-sucuk-_1421225.jpg,380,14,2,35
